Barcode	Brand	Wheel Name	Model	Retail price	Export price	Stock	Photo	Features	PCD	PCD2	INCH	ET Value	J Value	HUB size	Color	Production Type	Max Load	Rim Weight	Holes1	Holes2
2000000013565	Forzza	Ratlankis Forzza Reiven 8X18 5X112 ET35 66,45 gun/lm	Reiven	215.00	165.00	1	http://4ratis.lt/customer_xml/Photos/forzza_reiven_gun_lip_machined_1000.jpg	fr18512	112.00	0.00	18	35	8.0	66.45	Gun/Lip Machined	Casting	690.0000	10.9000	5	0
2000000013572	Forzza	Ratlankis Forzza Reiven 8X18 5X120 ET33 72,56 gun/lm	Reiven	215.00	165.00	1	http://4ratis.lt/customer_xml/Photos/forzza_reiven_gun_lip_machined_1000.jpg	fr18520	120.00	0.00	18	33	8.0	72.56	Gun/Lip Machined	Casting	690.0000	10.9000	5	0
00000017012577	Forzza	Ratlankis Forzza Aktia 5,5X14 4X100 ET40 73,1 BFM	Aktia	88.00	76.00	1	http://4ratis.lt/customer_xml/Photos/forzza_aktia_bfm_1000.jpg	fr14400	100.00	0.00	14	40	5.5	73.10	Black Face Machined	Casting	560.0000	7.5000	4	0
00000017031837	Forzza	Ratlankis Forzza Gravity 8X18 5X112 ET42 66,56 Black	gravity	239.00	186.00	79	http://4ratis.lt/customer_xml/Photos/forzza_gravity_iv23145_8x18_black.jpg	fr18512	112.00	0.00	18	42	8.0	66.56	Black	Flow Forming	900.0000	11.1000	5	0
00000017031844	Forzza	Ratlankis Forzza Gravity 8X18 5X114,3 ET42 73,1 Black	gravity	239.00	186.00	11	http://4ratis.lt/customer_xml/Photos/forzza_gravity_iv23145_8x18_black.jpg	fr18514	114.30	0.00	18	42	8.0	73.10	Black	Flow Forming	900.0000	11.1000	5	0
00000017036238	Forzza	Ratlankis Forzza Gravity 8X18 5X120 ET35 72,56 Black	gravity	239.00	186.00	52	http://4ratis.lt/customer_xml/Photos/forzza_gravity_iv23145_8x18_black.jpg	fr18520	114.30	0.00	18	35	8.0	72.56	Black	Flow Forming	900.0000	11.1000	5	0
00000017041270	Forzza	Ratlankis Forzza Gravity 8,5X19 5X108 ET45 67,1 Bronze Brushed + Bronze Clear Coat	gravity	344.00	270.00	36	http://4ratis.lt/customer_xml/Photos/forzza_gravity_8_5x20_bronze_1000.jpg	fr19508	108.00	0.00	19	45	8.5	67.10	Bronze Brushed + Bronze Clear Coat	Flow Forming	900.0000	11.9800	5	0
00000017028509	Forzza	Ratlankis Forzza Gravity 8,5X19 5X112 ET25 66,56 Black	gravity	292.00	228.00	51	http://4ratis.lt/customer_xml/Photos/forzza_gravity_8_5x19_black_1000.jpg	fr19512	112.00	0.00	19	25	8.5	66.56	Black	Flow Forming	900.0000	11.9800	5	0
00000017028530	Forzza	Ratlankis Forzza Gravity 8,5X19 5X114,3 ET42 73,1 Black	gravity	292.00	228.00	12	http://4ratis.lt/customer_xml/Photos/forzza_gravity_8_5x19_black_1000.jpg	fr19514	114.30	0.00	19	42	8.5	73.10	Black	Flow Forming	900.0000	11.0000	5	0
00000017028554	Forzza	Ratlankis Forzza Gravity 8,5X19 5X120 ET32 72,56 Black	gravity	292.00	228.00	105	http://4ratis.lt/customer_xml/Photos/forzza_gravity_8_5x19_black_1000.jpg	fr19520	120.00	0.00	19	32	8.5	72.56	Black	Flow Forming	900.0000	10.8000	5	0
00000017037105	Forzza	Ratlankis Forzza Gravity 9X20 5X108 ET45 67,10 Black	gravity	355.00	270.00	60	http://4ratis.lt/customer_xml/Photos/forzza_gravity_8_5x20_black_1000.jpg	fr20508	108.00	0.00	20	45	9.0	67.10	Black	Flow Forming	900.0000	11.9000	5	0
00000017028578	Forzza	Ratlankis Forzza Gravity 8,5X20 5X112 ET25 66,56 Bronze Brushed + Bronze Clear Coat	gravity	390.00	295.00	58	http://4ratis.lt/customer_xml/Photos/forzza_gravity_8_5x20_bronze_1000.jpg	fr20512	112.00	0.00	20	25	8.5	66.56	Bronze Brushed + Bronze Clear Coat	Flow Forming	900.0000	11.9800	5	0
00000017031912	Forzza	Ratlankis Forzza Gravity 8,5X20 5X120 ET30 72,56 Black	gravity	355.00	270.00	6	http://4ratis.lt/customer_xml/Photos/forzza_gravity_8_5x20_black_1000.jpg	fr20520	120.00	0.00	20	30	8.5	72.56	Black	Flow Forming	900.0000	11.9800	5	0
00000017028639	Forzza	Ratlankis Forzza Gravity 9X21 5X112 ET25 66,56 Black	gravity	440.00	334.00	17	http://4ratis.lt/customer_xml/Photos/forzza_gravity_9x21_black_1000.jpg	fr21512	112.00	0.00	21	25	9.0	66.56	Black	Flow Forming	900.0000	14.2000	5	0
00000017036221	Forzza	Ratlankis Forzza Gravity 8X18 5X112 ET42 66,56 Satin Grey	gravity	239.00	186.00	4	http://4ratis.lt/customer_xml/Photos/forzza_gravity_iv23145_8_5x19_satin_grey.jpg	fr18512	112.00	0.00	18	42	8.0	66.56	Satin Grey	Flow Forming	900.0000	11.1000	5	0
00000017041287	Forzza	Ratlankis Forzza Gravity 8,5X19 5X108 ET45 67,1 Black	gravity	292.00	228.00	55	http://4ratis.lt/customer_xml/Photos/forzza_gravity_black_lighter.jpg	fr19508	108.00	0.00	19	45	8.5	67.10	Black	Flow Forming	900.0000	11.9800	5	0
00000017028493	Forzza	Ratlankis Forzza Gravity 8,5X19 5X112 ET35 66,56 Black	gravity	292.00	228.00	24	http://4ratis.lt/customer_xml/Photos/forzza_gravity_8_5x19_black_1000.jpg	fr19512	112.00	0.00	19	35	8.5	66.56	Black	Flow Forming	900.0000	12.1000	5	0
00000017028547	Forzza	Ratlankis Forzza Gravity 9,5X19 5X114,3 ET40 73,1 Black	gravity	292.00	228.00	16	http://4ratis.lt/customer_xml/Photos/forzza_gravity_9_5x19_black_1000.jpg	fr19514	114.30	0.00	19	40	9.5	73.10	Black	Flow Forming	900.0000	10.0000	5	0
00000017028561	Forzza	Ratlankis Forzza Gravity 9,5X19 5X120 ET38 72,56 Black	gravity	292.00	228.00	64	http://4ratis.lt/customer_xml/Photos/forzza_gravity_9_5x19_black_1000.jpg	fr19520	120.00	0.00	19	38	9.5	72.56	Black	Flow Forming	900.0000	9.0000	5	0
00000017028585	Forzza	Ratlankis Forzza Gravity 10X20 5X112 ET40 66,56 Bronze Brushed + Bronze Clear Coat	gravity	390.00	295.00	40	http://4ratis.lt/customer_xml/Photos/forzza_gravity_10x20_bronze_1000.jpg	fr20512	112.00	0.00	20	40	10.0	66.56	Bronze Brushed + Bronze Clear Coat	Flow Forming	900.0000	11.9000	5	0
00000017028646	Forzza	Ratlankis Forzza Gravity 10,5X21 5X112 ET40 66,56 Black	gravity	440.00	334.00	54	http://4ratis.lt/customer_xml/Photos/forzza_gravity_10_5x21_black_1000.jpg	fr21512	112.00	0.00	21	40	10.5	66.56	Black	Flow Forming	900.0000	13.6000	5	0
00000017028516	Forzza	Ratlankis Forzza Gravity 8,5X19 5X112 ET45 66,56 Black	gravity	292.00	228.00	67	http://4ratis.lt/customer_xml/Photos/forzza_gravity_8_5x19_black_1000.jpg	fr19512	112.00	0.00	19	45	8.5	66.56	Black	Flow Forming	900.0000	15.2900	5	0
00000017028592	Forzza	Ratlankis Forzza Gravity 8,5X20 5X112 ET25 66,56 Black	gravity	355.00	270.00	4	http://4ratis.lt/customer_xml/Photos/forzza_gravity_8_5x20_black_1000.jpg	fr20512	112.00	0.00	20	25	8.5	66.56	Black	Flow Forming	900.0000	11.9800	5	0
00000017028615	Forzza	Ratlankis Forzza Gravity 10X20 5X120 ET40 74,1 Black	gravity	355.00	270.00	29	http://4ratis.lt/customer_xml/Photos/forzza_gravity_11x20_black_1000.jpg	fr20520	120.00	0.00	20	40	10.0	74.10	Black	Flow Forming	900.0000	12.1500	5	0
00000017031929	Forzza	Ratlankis Forzza Gravity 9X21 5X112 ET25 66,56 Bronze Brushed + Bronze Clear Coat	gravity	466.00	365.00	54	http://4ratis.lt/customer_xml/Photos/forzza_gravity_iv23145_9x21_brushed_bronze.jpg	fr21512	112.00	0.00	21	25	9.0	66.56	Bronze Brushed + Bronze Clear Coat	Flow Forming	900.0000	14.2000	5	0
00000017028523	Forzza	Ratlankis Forzza Gravity 9,5X19 5X112 ET40 66,56 Black	gravity	292.00	228.00	56	http://4ratis.lt/customer_xml/Photos/forzza_gravity_9_5x19_black_1000.jpg	fr19512	112.00	0.00	19	40	9.5	66.56	Black	Flow Forming	900.0000	11.1000	5	0
00000017028622	Forzza	Ratlankis Forzza Gravity 11X20 5X120 ET37 74,1 Black	gravity	355.00	270.00	40	http://4ratis.lt/customer_xml/Photos/forzza_gravity_11x20_black_1000.jpg	fr20520	120.00	0.00	20	37	11.0	74.10	Black	Flow Forming	900.0000	12.9000	5	0
00000017031936	Forzza	Ratlankis Forzza Gravity 10,5X21 5X112 ET40 66,56 Bronze Brushed + Bronze Clear Coat	gravity	466.00	365.00	46	http://4ratis.lt/customer_xml/Photos/forzza_gravity_iv23145_10_5x21_brushed_bronze.jpg	fr21512	112.00	0.00	21	40	10.5	66.56	Bronze Brushed + Bronze Clear Coat	Flow Forming	900.0000	13.6000	5	0
00000017031851	Forzza	Ratlankis Forzza Gravity 8,5X19 5X112 ET45 66,56 BFM + Black Clear Coat	gravity	292.00	228.00	80	http://4ratis.lt/customer_xml/Photos/forzza_gravity_iv23145_8_5x19_bfm_black_clear_coat.jpg	fr19512	112.00	0.00	19	45	8.5	66.56	BFM + Black Clear Coat	Flow Forming	900.0000	15.2900	5	0
